iter	Passed	Remaining
455	834	995
456	835	993
457	837	990
458	838	987
459	839	985
460	841	983
461	843	982
462	845	980
463	846	977
464	847	975
465	848	972
466	849	970
467	851	967
468	852	964
469	853	962
470	854	959
471	858	960
472	859	957
473	860	955
474	861	952
475	863	950
476	864	947
477	865	945
478	866	942
479	867	940
480	869	937
481	870	935
482	872	933
483	873	930
484	874	928
485	875	926
486	876	923
487	878	921
488	879	919
489	880	916
490	881	914
491	882	911
492	884	909
493	885	906
494	886	904
495	888	902
496	889	900
497	890	898
498	892	895
499	893	893
500	894	891
501	895	888
502	896	886
503	898	883
504	899	882
505	901	880
506	902	877
507	904	875
508	905	873
509	906	870
510	907	868
511	908	866
512	910	864
513	911	862
514	913	859
515	915	858
516	916	856
517	917	854
518	928	860
519	933	861
520	937	861
521	942	863
522	944	861
523	946	860
524	948	858
525	950	856
526	951	854
527	953	852
528	955	850
529	957	848
530	960	848
531	962	846
532	964	845
533	967	843
534	968	841
535	970	840
536	972	838
537	974	837
538	976	835
539	977	833
540	980	831
541	982	830
542	984	828
543	985	826
544	987	824
545	989	823
546	991	821
547	993	819
548	995	817
549	997	816
550	999	814
551	1001	812
552	1003	811
553	1005	809
554	1006	806
555	1007	804
556	1008	802
557	1010	800
558	1011	798
559	1013	796
560	1015	794
561	1017	792
562	1019	791
563	1021	789
564	1024	788
565	1032	791
566	1036	791
567	1038	789
568	1039	787
569	1041	785
570	1042	783
571	1044	781
572	1046	779
573	1050	779
574	1052	777
575	1054	776
576	1055	774
577	1057	772
578	1061	772
579	1063	770
580	1065	768
581	1067	766
582	1069	764
583	1072	763
584	1073	761
585	1075	759
586	1076	757
587	1078	755
588	1080	753
589	1082	752
590	1083	749
591	1085	748
592	1087	746
593	1088	743
594	1090	741
595	1091	739
596	1093	737
597	1094	736
598	1096	734
599	1098	732
600	1100	730
601	1101	728
602	1102	726
603	1104	724
604	1106	722
605	1107	719
606	1108	717
607	1111	716
608	1113	714
609	1115	712
610	1117	711
611	1118	709
612	1119	707
613	1121	704
614	1124	703
615	1125	701
616	1127	700
617	1129	697
618	1130	695
619	1131	693
620	1133	691
621	1134	689
622	1136	687
623	1137	685
624	1139	683
625	1142	682
626	1143	680
627	1144	678
628	1146	676
629	1147	673
630	1148	671
631	1149	669
632	1151	667
633	1152	665
634	1155	664
635	1157	662
636	1159	660
637	1160	658
638	1161	656
639	1163	654
640	1164	652
641	1165	650
642	1167	648
643	1168	645
644	1170	644
645	1171	642
646	1173	639
647	1174	637
648	1175	635
649	1177	633
650	1178	631
651	1179	629
652	1180	627
653	1182	625
654	1183	623
655	1185	621
656	1186	619
657	1188	617
658	1189	615
659	1191	613
660	1192	611
661	1194	609
662	1195	607
663	1197	605
664	1198	603
665	1200	601
666	1201	599
667	1202	597
668	1203	595
669	1205	593
670	1206	591
671	1207	589
672	1208	587
673	1209	585
674	1211	583
675	1212	581
676	1213	579
677	1215	577
678	1217	575
679	1218	573
680	1220	571
681	1223	570
682	1225	568
683	1226	566
684	1227	564
685	1229	562
686	1231	560
687	1232	559
688	1234	557
689	1235	555
690	1236	553
691	1238	551
692	1239	548
693	1240	546
694	1241	544
695	1243	543
696	1245	541
697	1246	539
698	1248	537
699	1249	535
700	1250	533
701	1251	531
702	1253	529
703	1254	527
704	1255	525
705	1256	523
706	1257	521
707	1259	519
708	1260	517
709	1262	515
710	1263	513
711	1264	511
712	1265	509
713	1267	507
714	1268	505
715	1269	503
716	1270	501
717	1271	499
718	1273	497
719	1274	495
720	1275	493
721	1276	491
722	1278	489
723	1279	487
724	1280	485
725	1281	483
726	1282	481
727	1284	479
728	1285	477
729	1286	475
730	1287	473
731	1288	471
732	1290	469
733	1291	467
734	1292	466
735	1293	464
736	1295	462
737	1296	460
738	1297	458
739	1298	456
740	1299	454
741	1300	452
742	1302	450
743	1303	448
744	1305	446
745	1306	444
746	1307	442
747	1308	440
748	1309	438
749	1311	437
750	1312	435
751	1313	433
752	1314	431
753	1315	429
754	1316	427
755	1318	425
756	1319	423
757	1321	421
758	1322	419
759	1323	417
760	1324	415
761	1325	414
762	1326	412
763	1328	410
764	1329	408
765	1330	406
766	1331	404
767	1332	402
768	1334	400
769	1335	398
770	1336	396
771	1337	395
772	1338	393
773	1339	391
774	1340	389
775	1342	387
776	1343	385
777	1344	383
778	1345	381
779	1346	379
780	1348	378
781	1349	376
782	1350	374
783	1352	372
784	1353	370
785	1354	368
786	1355	366
787	1356	365
788	1357	363
789	1359	361
790	1360	359
791	1361	357
792	1362	355
793	1364	353
794	1365	352
795	1366	350
796	1368	348
797	1369	346
798	1370	344
799	1371	342
800	1372	341
801	1374	339
802	1375	337
803	1377	335
804	1379	334
805	1381	332
806	1382	330
807	1383	328
808	1385	327
809	1386	325
810	1387	323
811	1389	321
812	1390	319
813	1394	318
814	1396	316
815	1397	315
816	1399	313
817	1400	311
818	1402	309
819	1403	308
820	1404	306
821	1405	304
822	1407	302
823	1408	300
824	1410	299
825	1411	297
826	1412	295
827	1413	293
828	1415	291
829	1416	290
830	1417	288
831	1418	286
832	1420	284
833	1422	283
834	1423	281
835	1424	279
836	1425	277
837	1426	275
838	1428	274
839	1429	272
840	1430	270
841	1431	268
842	1433	266
843	1434	265
844	1435	263
845	1437	261
846	1438	259
847	1439	258
848	1441	256
849	1442	254
850	1443	252
851	1445	251
852	1446	249
853	1447	247
854	1448	245
855	1449	243
856	1451	242
857	1452	240
858	1453	238
859	1454	236
860	1455	235
861	1457	233
862	1458	231
863	1459	229
864	1460	228
865	1462	226
866	1463	224
867	1464	222
868	1465	220
869	1466	219
870	1468	217
871	1469	215
872	1470	213
873	1471	212
874	1472	210
875	1474	208
876	1475	206
877	1476	205
878	1478	203
879	1479	201
880	1480	199
881	1481	198
882	1483	196
883	1484	194
884	1485	193
885	1486	191
886	1487	189
887	1488	187
888	1490	186
889	1491	184
890	1492	182
891	1493	180
892	1494	179
893	1495	177
894	1497	175
895	1498	173
896	1499	172
897	1500	170
898	1501	168
899	1503	167
900	1504	165
901	1505	163
902	1506	161
903	1507	160
904	1509	158
905	1510	156
906	1511	154
907	1512	153
908	1513	151
909	1515	149
910	1517	148
911	1518	146
912	1519	144
913	1520	143
914	1521	141
915	1522	139
916	1524	137
917	1525	136
918	1526	134
919	1527	132
920	1529	131
921	1530	129
922	1531	127
923	1532	126
924	1533	124
925	1535	122
926	1536	120
927	1537	119
928	1538	117
929	1539	115
930	1541	114
931	1542	112
932	1543	110
933	1544	109
934	1545	107
935	1546	105
936	1548	104
937	1549	102
938	1550	100
939	1551	99
940	1552	97
941	1553	95
942	1555	94
943	1556	92
944	1558	90
945	1559	89
946	1560	87
947	1561	85
948	1562	83
949	1564	82
950	1565	80
951	1567	79
952	1568	77
953	1569	75
954	1570	74
955	1572	72
956	1573	70
957	1574	69
958	1575	67
959	1576	65
960	1577	64
961	1578	62
962	1579	60
963	1581	59
964	1582	57
965	1583	55
966	1584	54
967	1585	52
968	1586	50
969	1588	49
970	1589	47
971	1590	45
972	1591	44
973	1592	42
974	1593	40
975	1595	39
976	1596	37
977	1597	35
978	1598	34
979	1599	32
980	1600	31
981	1602	29
982	1603	27
983	1604	26
984	1605	24
985	1606	22
986	1607	21
987	1609	19
988	1610	17
989	1611	16
990	1612	14
991	1613	13
992	1614	11
993	1615	9
994	1617	8
995	1618	6
996	1619	4
997	1620	3
998	1621	1
999	1622	0
